input_id	dealiased_id	standard_id	short_id
TODO:bifo-paper-1-biorxiv	TODO:bifo-paper-1-biorxiv	TODO:bifo-paper-1-biorxiv	1AFuIgfwQ
doi:10.1038/s41597-024-04070-w	doi:10.1038/s41597-024-04070-w	doi:10.1038/s41597-024-04070-w	1Fxwv2U6v
doi:10.1038/75556	doi:10.1038/75556	doi:10.1038/75556	pqVRhFos
doi:10.1093/nar/gkaa1043	doi:10.1093/nar/gkaa1043	doi:10.1093/nar/gkaa1043	HzIfcvnR
TODO:bel-citation	TODO:bel-citation	TODO:bel-citation	1FgFyfV8a
TODO:go-cam-citation	TODO:go-cam-citation	TODO:go-cam-citation	DkoUZyPA
TODO:sbml-citation	TODO:sbml-citation	TODO:sbml-citation	18Nq0SVVW
TODO:bfo-citation	TODO:bfo-citation	TODO:bfo-citation	9Ox8D5UD
doi:10.1038/s41597-024-04358-x	doi:10.1038/s41597-024-04358-x	doi:10.1038/s41597-024-04358-x	QZDuHvUw
TODO:bifo-spec-osf-doi	TODO:bifo-spec-osf-doi	TODO:bifo-spec-osf-doi	8jKggar9
TODO:ddkg-bifo-impl-guide	TODO:ddkg-bifo-impl-guide	TODO:ddkg-bifo-impl-guide	OyccnH9P
